Name,Description,List,Labels,Due Date,Members,Story Points,Checklist Items
"MCP Server Completion","Complete tool calling implementation for sensor data retrieval - Target: <100ms response time","🎯 Sprint 3 - TODO","Backend,P0-Critical,Feature","2025-11-18","Júlia,Kristóf","8","Implement sensor data retrieval,Add equipment status queries,Context retrieval for LLM,Authentication and rate limiting,Error handling and logging,Performance testing (<100ms)"
"WebSocket Implementation","Real-time data streaming endpoints - Target: 1000+ concurrent connections","🎯 Sprint 3 - TODO","Backend,P0-Critical,Feature","2025-11-19","Júlia,Kristóf","5","Real-time data streaming endpoints,Connection management,Message queuing system,Handle 1000+ concurrent connections,Reconnection logic"
"Dashboard Builder","Drag-and-drop dashboard creation interface - Target: <5 min dashboard creation","🎯 Sprint 3 - TODO","Frontend,P0-Critical,Feature","2025-11-20","Imelda,Norbi","8","Drag-and-drop interface,Component library browser,PostgreSQL persistence,PDF/CSV/JSON export,Template system,Dashboard versioning"
"Real-time AI Streaming","WebSocket streaming for AI chat - Target: <500ms latency","🎯 Sprint 3 - TODO","AI Service,P0-Critical,Feature","2025-11-19","Nándi","8","WebSocket streaming for /api/chat,Token processing optimization,Context management,Fix httpx dependency issue"
"Unit Testing Framework","Setup testing framework across all services - Target: 80%+ coverage","🎯 Sprint 3 - TODO","DevOps,P0-Critical,Tech Debt","2025-11-21","All Teams","12","Backend: JUnit tests (>80% coverage),AI Service: Pytest tests,Frontend: Jest/React Testing Library,Integration tests,Load testing,E2E workflow tests"
"CI/CD Pipeline","GitHub Actions implementation for automated deployment","🎯 Sprint 3 - TODO","DevOps,P1-High,Feature","2025-11-21","DevOps Team","8","GitHub Actions workflow,Automated testing,Blue-green deployment,Rollback capabilities,Docker image builds"
"Monitoring Stack","Prometheus + Grafana observability","🎯 Sprint 3 - TODO","DevOps,P1-High,Feature","2025-11-20","DevOps Team","5","Prometheus metrics collection,Grafana dashboards,ELK centralized logging,Alert system,Service health monitoring"
"Production Optimization","Database and backend performance optimization - Target: 10x load capacity","🎯 Sprint 3 - TODO","Backend,P1-High,Feature","2025-11-21","Júlia,Kristóf","5","Database query optimization,Redis caching strategy,Memory and GC tuning,Load testing"
"Frontend Login CORS Fix","Resolve browser login authentication issue - CRITICAL BUG","🔄 Sprint 3 - IN PROGRESS","Frontend,Backend,P0-Critical,Bug","2025-11-15","Investigation Team","2","Debug browser console errors,Test with different browsers,Verify frontend container network,Check API base URL configuration"
"WebSocket Client Implementation","Frontend WebSocket client for real-time updates - BLOCKED by Backend WebSocket","🔴 BLOCKED","Frontend,P0-Critical,Feature","2025-11-20","Imelda,Norbi","5","AI service WebSocket integration,Real-time chart updates,Reconnection logic,Error handling"
"Advanced AI Features","Predictive analytics and anomaly detection - BLOCKED by TimeBase Integration","🔴 BLOCKED","AI Service,P1-High,Feature","2025-11-21","Nándi","5","Predictive analytics for time-series,Enhanced anomaly detection,Multi-modal AI responses,Chart suggestion engine"
"OPC-UA Direct Streaming","Go collector with TimescaleDB ingestion - 45000+ records collected","✅ Sprint 3 - DONE","Data,Feature","2025-11-12","Data Team","5","Go collector implementation,Direct TimescaleDB ingestion,12 sensors reading,Real-time data streaming"
"AI-Powered Chart System","Multi-library chart generation system (Recharts + Chart.js)","📦 Sprint 2 - DONE","AI Service,Frontend,Feature","2025-11-06","Nándi,Frontend Team","18","Recharts + Chart.js integration,React component generation,PNG export functionality,Live code editing,Security measures (XSS prevention)"
"Backend Stability Fixes","Hibernate and CORS configuration fixes","📦 Sprint 2 - DONE","Backend,Bug,Tech Debt","2025-11-05","Júlia,Kristóf","8","LazyInitializationException fix,CORS preflight handling,Multi-origin support,User-Company eager fetching"
"Python Simulator","OPC-UA server with asyncua - Real-time sensor data","📦 Sprint 2 - DONE","Data,Feature","2025-11-06","Data Team","5","OPC-UA server with asyncua,String-based node IDs,Demo sensor generation,Real-time updates"
"Microservices Architecture","Complete system architecture design and documentation","🏆 Sprint 1 - DONE","DevOps,Feature","2025-10-23","All Teams","15","Architecture documentation,Technology stack selection,Database schema design,Docker orchestration,Data flow diagrams"
"Backend Foundation","Spring Boot setup with JWT authentication","🏆 Sprint 1 - DONE","Backend,Feature","2025-10-22","Júlia,Kristóf","12","REST API implementation,JWT authentication,Database integration,Health endpoints,OPC-UA server integration"
"AI Service Foundation","FastAPI framework with database models","🏆 Sprint 1 - DONE","AI Service,Feature","2025-10-21","Nándi","10","FastAPI application setup,Database initialization,SQLAlchemy models,Service client stubs"
"Frontend Foundation","React TypeScript setup with shadcn/ui","🏆 Sprint 1 - DONE","Frontend,Feature","2025-10-21","Imelda,Norbi","8","Vite + TypeScript setup,shadcn/ui integration,Routing configuration,Component structure,Tailwind CSS"
"Production Deployment","Kubernetes deployment preparation","📋 Backlog","DevOps,P1-High,Feature","","DevOps Team","5","Kubernetes manifests,Database migration strategies,Security hardening,Load balancer configuration"
"Advanced UI Components","Gauge, KPI, Alert components","📋 Backlog","Frontend,P2-Medium,Feature","","Imelda,Norbi","5","Gauge components,KPI indicators,Alert/notification system,Advanced table components"
"Security Vulnerability Fixes","Fix Golang base image vulnerabilities (5 high)","📋 Backlog","DevOps,P1-High,Bug","","DevOps Team","2","Upgrade Golang base image,Security scan,Patch vulnerabilities"
"Advanced Analytics","TimeBase advanced time-series functions","📋 Backlog","Data,P2-Medium,Feature","","Data Team","8","Complex time-series analysis,Predictive modeling integration,Advanced aggregations,Windowing functions"
